run_id,sweep_id,status,git_sha,config_hash,timestamp_utc,test_acc,test_auc,best_val_acc,best_val_epoch,chance_floor,train_time_sec,dataset,lr,batchSize,epochs,optimizer,augmentation,seed,architecture,gpu,host
002_organ_lr/run_031,002_organ_lr,complete,75ab7b5,ad1cdf1c,2026-05-28T18:00:47Z,0.914754098360656,0.994667280804027,NaN,NaN,0.113114754098361,41,organmnist3d,0.0003,32,100,adam,none,1337,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_061,002_organ_lr,complete,75ab7b5,8ff5d9fa,2026-05-28T18:24:47Z,0.914754098360656,0.996705347841436,NaN,NaN,0.113114754098361,41,organmnist3d,0.001,32,100,adam,none,42,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_035,002_organ_lr,complete,75ab7b5,9ccc3d63,2026-05-28T18:03:42Z,0.913114754098361,0.996529264883562,NaN,NaN,0.113114754098361,31,organmnist3d,0.0005,16,50,adam,none,1337,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_011,002_organ_lr,complete,75ab7b5,990b1518,2026-05-28T17:44:22Z,0.901639344262295,0.99237503788688,NaN,NaN,0.113114754098361,56,organmnist3d,0.0001,16,100,adam,none,1337,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_060,002_organ_lr,complete,75ab7b5,22fb83b1,2026-05-28T18:23:53Z,0.901639344262295,0.992635298858989,NaN,NaN,0.113114754098361,49,organmnist3d,0.001,16,100,adam,none,1337,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_019,002_organ_lr,complete,75ab7b5,57bdde35,2026-05-28T17:50:54Z,0.898360655737705,0.99431361393495,NaN,NaN,0.113114754098361,31,organmnist3d,0.0003,16,50,adam,none,1337,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_053,002_organ_lr,complete,75ab7b5,57f8f7f1,2026-05-28T18:17:54Z,0.89344262295082,0.994490363381126,NaN,NaN,0.113114754098361,24,organmnist3d,0.001,32,50,adam,none,42,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_055,002_organ_lr,complete,75ab7b5,cde82ab4,2026-05-28T18:19:03Z,0.89344262295082,0.994792743162675,NaN,NaN,0.113114754098361,24,organmnist3d,0.001,32,50,adam,none,1337,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_009,002_organ_lr,complete,75ab7b5,c0460b4d,2026-05-28T17:42:13Z,0.89016393442623,0.991267383098602,NaN,NaN,0.113114754098361,55,organmnist3d,0.0001,16,100,adam,none,42,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_021,002_organ_lr,complete,75ab7b5,f23731ac,2026-05-28T17:52:10Z,0.89016393442623,0.989778990095312,NaN,NaN,0.113114754098361,24,organmnist3d,0.0003,32,50,adam,none,42,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_033,002_organ_lr,complete,75ab7b5,f93f461b,2026-05-28T18:02:19Z,0.89016393442623,0.992806515910409,NaN,NaN,0.113114754098361,31,organmnist3d,0.0005,16,50,adam,none,42,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_039,002_organ_lr,complete,75ab7b5,f8fb3483,2026-05-28T18:06:09Z,0.888524590163934,0.992501719431444,NaN,NaN,0.113114754098361,24,organmnist3d,0.0005,32,50,adam,none,1337,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_037,002_organ_lr,complete,75ab7b5,1be89b39,2026-05-28T18:04:59Z,0.885245901639344,0.993005503307689,NaN,NaN,0.113114754098361,24,organmnist3d,0.0005,32,50,adam,none,42,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_064,002_organ_lr,complete,75ab7b5,aca3ac3d,2026-05-28T18:27:18Z,0.881967213114754,0.990115983919664,NaN,NaN,0.113114754098361,36,organmnist3d,0.001,32,100,adam,none,1337,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_049,002_organ_lr,complete,75ab7b5,f347623e,2026-05-28T18:15:14Z,0.880327868852459,0.994540106166493,NaN,NaN,0.113114754098361,31,organmnist3d,0.001,16,50,adam,none,42,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_023,002_organ_lr,complete,75ab7b5,ee2ef284,2026-05-28T17:53:20Z,0.878688524590164,0.989454854618419,NaN,NaN,0.113114754098361,24,organmnist3d,0.0003,32,50,adam,none,1337,baseline_3d_v1,NVIDIA RTX A4000,kirby
002_organ_lr/run_015,002_organ_lr,complete,75ab7b5,170e407b,2026-05-28T17:47:58Z,0.875409836065574,0.987376462329518,NaN,NaN,0.113114754098361,41,organmnist3d,0.0001,32,100,adam,none,1337,baseline_3d_v1,NVIDIA RTX A4000,kirby
